127.0.0.1 - - [30/Nov/2018:15:06:37 +1100] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [30/Nov/2018:15:07:36 +1100] "GET /SSINFRAP/rest/hello HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [30/Nov/2018:15:07:36 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [30/Nov/2018:15:08:38 +1100] "GET /SSINFRAP/rest/hello HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [30/Nov/2018:15:08:38 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [30/Nov/2018:15:09:35 +1100] "GET /SSINFRAP/rest/hello HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [30/Nov/2018:15:09:35 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [30/Nov/2018:15:10:39 +1100] "GET /SSINFRAP/rest/hello HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [30/Nov/2018:15:10:39 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [30/Nov/2018:15:27:59 +1100] "GET /SSINFRAP/rest/hello HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [30/Nov/2018:15:27:59 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [30/Nov/2018:17:11:35 +1100] "GET /SSINFRAP/rest/hello HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [30/Nov/2018:17:21:00 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [30/Nov/2018:17:21:00 +1100] "GET /SSINFRAP/libs/JS/vue.js HTTP/1.1" 200 300248
0:0:0:0:0:0:0:1 - - [30/Nov/2018:17:21:01 +1100] "GET /SSINFRAP/JS/controller.js HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [30/Nov/2018:17:26:55 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [30/Nov/2018:17:26:55 +1100] "GET /SSINFRAP/libs/JS/vue.js HTTP/1.1" 200 300248
0:0:0:0:0:0:0:1 - - [30/Nov/2018:17:26:55 +1100] "GET /SSINFRAP/JS/controller.js HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [30/Nov/2018:17:26:55 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
