127.0.0.1 - - [03/Dec/2018:16:00:36 +1100] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:07:40 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:07:41 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:07:41 +1100] "GET /SSINFRAP/libs/JS/vue.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:07:41 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:07:41 +1100] "GET /SSINFRAP/JS/controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:07:42 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:08:02 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js.map HTTP/1.1" 200 176087
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:08:02 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 562427
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:16:39 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:16:39 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:16:39 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:16:40 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:18:31 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:18:31 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:18:31 +1100] "GET /SSINFRAP/libs/JS/vue.js HTTP/1.1" 200 300248
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:18:31 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:18:31 +1100] "GET /SSINFRAP/JS/controller.js HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:18:32 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:19:03 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:19:03 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:19:03 +1100] "GET /SSINFRAP/libs/JS/vue.js HTTP/1.1" 200 300248
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:19:03 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:19:03 +1100] "GET /SSINFRAP/JS/controller.js HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:19:03 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:28:16 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 1652
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:28:16 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:28:16 +1100] "GET /SSINFRAP/libs/JS/vue.js HTTP/1.1" 200 300248
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:28:16 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:28:16 +1100] "GET /SSINFRAP/JS/controller.js HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:28:17 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:31:54 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 1704
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:31:55 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:32:20 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 1704
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:32:20 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:32:20 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:32:20 +1100] "GET /SSINFRAP/libs/JS/vue.js HTTP/1.1" 200 300248
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:32:20 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:32:20 +1100] "GET /SSINFRAP/JS/controller.js HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:32:20 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:36:49 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 3786
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:36:49 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:36:49 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:36:49 +1100] "GET /SSINFRAP/libs/JS/vue.js HTTP/1.1" 200 300248
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:36:49 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:36:49 +1100] "GET /SSINFRAP/JS/controller.js HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:36:50 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:37:41 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 3786
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:37:41 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:37:41 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 1847
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:37:41 +1100] "GET /SSINFRAP/libs/JS/vue.js HTTP/1.1" 200 300248
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:37:41 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:37:41 +1100] "GET /SSINFRAP/JS/controller.js HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:37:41 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:54:56 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 4720
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:54:56 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:54:56 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:54:56 +1100] "GET /SSINFRAP/libs/JS/vue.js HTTP/1.1" 200 300248
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:54:56 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:54:56 +1100] "GET /SSINFRAP/JS/controller.js HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [03/Dec/2018:16:54:56 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
