127.0.0.1 - - [14/Jan/2019:09:38:59 +1100] "GET / HTTP/1.1" 404 1074
10.41.48.29 - - [14/Jan/2019:09:39:07 +1100] "GET /SSINFRAP/assignedStatus.html HTTP/1.1" 200 3824
10.41.48.29 - - [14/Jan/2019:09:39:07 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
10.41.48.29 - - [14/Jan/2019:09:39:07 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap-select.min.css HTTP/1.1" 200 9808
10.41.48.29 - - [14/Jan/2019:09:39:07 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
10.41.48.29 - - [14/Jan/2019:09:39:07 +1100] "GET /SSINFRAP/libs/JS/angular/angular.js HTTP/1.1" 200 1364603
10.41.48.29 - - [14/Jan/2019:09:39:07 +1100] "GET /SSINFRAP/libs/css/ToogleSwitch.css HTTP/1.1" 200 13022
10.41.48.29 - - [14/Jan/2019:09:39:07 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 6334
10.41.48.29 - - [14/Jan/2019:09:39:07 +1100] "GET /SSINFRAP/libs/JS/JQuery.js HTTP/1.1" 200 86927
10.41.48.29 - - [14/Jan/2019:09:39:07 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap-select.min.js HTTP/1.1" 200 45162
10.41.48.29 - - [14/Jan/2019:09:39:07 +1100] "GET /SSINFRAP/JS/infraRouter.js HTTP/1.1" 200 3273
10.41.48.29 - - [14/Jan/2019:09:39:07 +1100] "GET /SSINFRAP/JS/infraStatusController.js HTTP/1.1" 200 997
10.41.48.29 - - [14/Jan/2019:09:39:07 +1100] "GET /SSINFRAP/Header.html HTTP/1.1" 200 415
10.41.48.29 - - [14/Jan/2019:09:39:08 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
10.41.48.29 - - [14/Jan/2019:09:39:11 +1100] "GET /SSINFRAP/rest/api/getAddedProjectNames HTTP/1.1" 200 24
10.41.48.29 - - [14/Jan/2019:09:39:11 +1100] "GET /SSINFRAP/rest/api/getAddedTeamNames HTTP/1.1" 200 27
10.41.48.29 - - [14/Jan/2019:09:39:11 +1100] "GET /SSINFRAP/rest/api/getAssignedOwnerDetails HTTP/1.1" 200 109
10.41.48.29 - - [14/Jan/2019:09:39:15 +1100] "POST /SSINFRAP/rest/api/getCloudVDIDetails HTTP/1.1" 200 4529
10.41.48.29 - - [14/Jan/2019:09:40:08 +1100] "GET /SSINFRAP/assignedStatus.html HTTP/1.1" 200 3824
10.41.48.29 - - [14/Jan/2019:09:40:08 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
10.41.48.29 - - [14/Jan/2019:09:40:08 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 6334
10.41.48.29 - - [14/Jan/2019:09:40:08 +1100] "GET /SSINFRAP/libs/css/ToogleSwitch.css HTTP/1.1" 200 13022
10.41.48.29 - - [14/Jan/2019:09:40:08 +1100] "GET /SSINFRAP/libs/JS/angular/angular.js HTTP/1.1" 200 1364603
